a,b,c,d,primitive,family
228,258,396,450,0,sporadic
290,295,345,450,0,"B:Ramanujan(m,n)"
22,187,440,451,0,sporadic
66,352,363,451,0,sporadic
200,296,388,452,0,sporadic
5,216,436,453,1,sporadic
26,312,397,453,1,sporadic
72,157,446,453,1,sporadic
138,141,444,453,0,sporadic
234,260,397,453,1,sporadic
58,75,453,454,1,sporadic
69,328,387,454,1,sporadic
283,294,357,454,1,"B:Ramanujan(m,n)"
36,334,386,456,0,sporadic
72,240,432,456,0,sporadic
186,198,432,456,0,sporadic
228,304,380,456,0,"A:(3,4,5,6)-multiple"
